run,array_size,sortedness,elapsed_time
1,5,0,21
1,5,-1,21
1,5,0.25,19
1,5,0.5,20
1,5,1,19
1,5,2,29
1,5,5,21
1,10,0,55
1,10,-1,67
1,10,0.25,56
1,10,0.5,61
1,10,1,62
1,10,2,57
1,10,5,64
1,25,0,296
1,25,-1,379
1,25,0.25,310
1,25,0.5,326
1,25,1,331
1,25,2,333
1,25,5,337
1,50,0,1077
1,50,-1,1489
1,50,0.25,1029
1,50,0.5,1029
1,50,1,1142
1,50,2,1068
1,50,5,998
1,100,0,3504
1,100,-1,4694
1,100,0.25,3869
1,100,0.5,3779
1,100,1,3860
1,100,2,3915
1,100,5,3956
1,200,0,13043
1,200,-1,17671
1,200,0.25,14431
1,200,0.5,14765
1,200,1,15203
1,200,2,15453
1,200,5,15504
2,5,0,23
2,5,-1,142
2,5,0.25,22
2,5,0.5,21
2,5,1,24
2,5,2,22
2,5,5,21
2,10,0,109
2,10,-1,60
2,10,0.25,51
2,10,0.5,59
2,10,1,149
2,10,2,63
2,10,5,100
2,25,0,513
2,25,-1,359
2,25,0.25,379
2,25,0.5,426
2,25,1,454
2,25,2,490
2,25,5,633
2,50,0,1408
2,50,-1,4154
2,50,0.25,1830
2,50,0.5,1210
2,50,1,1051
2,50,2,966
2,50,5,1018
2,100,0,3370
2,100,-1,4637
2,100,0.25,3614
2,100,0.5,3654
2,100,1,3847
2,100,2,3852
2,100,5,3926
2,200,0,13222
2,200,-1,17846
2,200,0.25,14539
2,200,0.5,14981
2,200,1,15416
2,200,2,15028
2,200,5,15263
3,5,0,16
3,5,-1,14
3,5,0.25,12
3,5,0.5,13
3,5,1,16
3,5,2,16
3,5,5,17
3,10,0,48
3,10,-1,56
3,10,0.25,38
3,10,0.5,42
3,10,1,41
3,10,2,258
3,10,5,81
3,25,0,222
3,25,-1,281
3,25,0.25,273
3,25,0.5,311
3,25,1,282
3,25,2,287
3,25,5,333
3,50,0,1321
3,50,-1,1348
3,50,0.25,931
3,50,0.5,947
3,50,1,982
3,50,2,978
3,50,5,932
3,100,0,3321
3,100,-1,4389
3,100,0.25,3586
3,100,0.5,3675
3,100,1,3864
3,100,2,3861
3,100,5,3899
3,200,0,13270
3,200,-1,18062
3,200,0.25,14156
3,200,0.5,16448
3,200,1,16629
3,200,2,15051
3,200,5,15345
