run,array_size,sortedness,elapsed_time
1,5,0,26
1,5,-1,19
1,5,0.25,17
1,5,0.5,20
1,5,1,21
1,5,2,24
1,5,5,22
1,10,0,53
1,10,-1,57
1,10,0.25,57
1,10,0.5,58
1,10,1,57
1,10,2,55
1,10,5,58
1,25,0,268
1,25,-1,283
1,25,0.25,274
1,25,0.5,280
1,25,1,279
1,25,2,290
1,25,5,283
1,50,0,1042
1,50,-1,1073
1,50,0.25,1071
1,50,0.5,1101
1,50,1,1098
1,50,2,1099
1,50,5,1097
1,100,0,4098
1,100,-1,4278
1,100,0.25,4205
1,100,0.5,4272
1,100,1,4244
1,100,2,4303
1,100,5,4271
1,200,0,16363
1,200,-1,16749
1,200,0.25,16613
1,200,0.5,16670
1,200,1,16847
1,200,2,16857
1,200,5,16733
2,5,0,23
2,5,-1,23
2,5,0.25,22
2,5,0.5,24
2,5,1,21
2,5,2,25
2,5,5,20
2,10,0,54
2,10,-1,59
2,10,0.25,55
2,10,0.5,62
2,10,1,56
2,10,2,54
2,10,5,59
2,25,0,264
2,25,-1,283
2,25,0.25,270
2,25,0.5,281
2,25,1,310
2,25,2,287
2,25,5,279
2,50,0,1054
2,50,-1,1075
2,50,0.25,1077
2,50,0.5,1077
2,50,1,1102
2,50,2,1100
2,50,5,1128
2,100,0,4154
2,100,-1,4252
2,100,0.25,4178
2,100,0.5,4233
2,100,1,4333
2,100,2,4250
2,100,5,4261
2,200,0,16551
2,200,-1,16632
2,200,0.25,16708
2,200,0.5,16755
2,200,1,16724
2,200,2,16774
2,200,5,16906
3,5,0,26
3,5,-1,24
3,5,0.25,22
3,5,0.5,19
3,5,1,22
3,5,2,25
3,5,5,18
3,10,0,49
3,10,-1,57
3,10,0.25,56
3,10,0.5,55
3,10,1,54
3,10,2,57
3,10,5,56
3,25,0,267
3,25,-1,282
3,25,0.25,268
3,25,0.5,273
3,25,1,282
3,25,2,285
3,25,5,285
3,50,0,1048
3,50,-1,1101
3,50,0.25,1061
3,50,0.5,1068
3,50,1,1102
3,50,2,1097
3,50,5,1092
3,100,0,4199
3,100,-1,4226
3,100,0.25,4265
3,100,0.5,4238
3,100,1,4281
3,100,2,4277
3,100,5,4302
3,200,0,16485
3,200,-1,16743
3,200,0.25,17339
3,200,0.5,16724
3,200,1,16716
3,200,2,16897
3,200,5,17691
